服裝
衣服
服飾
衣物
衣褲
上衣
襯衫
花衫
毛衣
背心
防彈背心
褲子
牛仔褲
長褲
短褲
褲管
西裝褲
熱褲
緊身褲
棉褲
洋裝
裙子
裙
短裙
迷你裙
內衣
內褲
汗衫
胸罩
丁字褲
肚兜
外套
夾克
外衣
罩袍
大衣
裘
皮草
棉襖
長袍
袍
龍袍
浴袍
制服
軍服
戰袍
盔甲
鎧甲
鐵甲
便衣
禮服
晚禮服
婚紗
唐裝
旗袍
青衣
泳裝
比基尼
雨衣
簑衣
麻衣
小功
喪服
重孝
孝服
運動服
袈裟
法服
鞋
鞋子
靴子
皮靴
軍靴
雨靴
直排輪
球鞋
皮鞋
運動鞋
拖鞋
高跟鞋
木屐
草鞋
布鞋
輪鞋
休閒鞋
涼鞋
溜冰鞋
絲襪
襪子
鞋襪
褲襪
頭飾
面紗
頭巾
頭套
手套
圍巾
絲巾
腰帶
披肩
冠
帽子
帽
安全帽
皇冠
頭盔
斗笠
鋼盔
冕
王冠
金冠
烏紗帽
草帽
笠
冠冕
襟
圓領
袖子
袖
長袖
襯
紡織品
絲織品
棉織品
制服
成衣
口袋
口罩
套裝
西裝
時裝
球衣
防彈衣
領帶
綵
古裝
救生衣
皮件
和服
新裝
絲織
舊衣
帶子
西服
裡子
戲服
新衣
童裝
睡衣
男裝
行頭
兜
短打
工作服
白衣
紅衣
肩帶
皮衣
春裝
白紗
冬衣
圍裙
血衣
風衣
針織品
髮帶
潛水衣
冬裝
披風
鞋帶
黑紗
奇裝異服
太空衣
緊身衣
褲袋
短袖
