芹菜
香芹
蘿蔔
胡蘿蔔
紅蘿蔔
馬鈴薯
薯條
菜心
山藥
牛蒡
萵苣
蘆筍
白蘆筍
芥菜
榨菜
芫荽
葫蘆
冬瓜
洋蔥
青椒
茄子
韭菜
薤
甜菜
番茄
菠菜
薑
薑片
蔥
蔥蒜
辣椒
蒜頭
大蒜
蒜苗
髮菜
豆芽
甘藍
小白菜
包心白菜
白菜
空心菜
花椰菜
南瓜
胡瓜
花瓜
絲瓜
苦瓜
甜椒
油菜
野菜
莧菜
高麗菜
